D,145,01/14/2020,23:00:01,3.191,24,15979,1
D,148,01/14/2020,17:00:01,3.193,24,1679,1
D,149,01/14/2020,18:00:01,3.193,25,1772,1
D,150,01/14/2020,19:00:01,3.195,26,2412,1
D,151,01/14/2020,20:00:01,3.194,25,2435,1
D,152,01/14/2020,21:00:01,3.193,26,2415,1
D,153,01/14/2020,22:00:01,3.193,26,3375,1
D,154,01/14/2020,23:00:01,3.194,25,3553,1
D,155,01/15/2020,00:00:01,3.193,25,3347,1
D,156,01/15/2020,01:00:01,3.193,25,3244,1
D,157,01/15/2020,02:00:01,3.193,24,16606,1
D,158,01/15/2020,03:00:09,3.195,24,1675983,1
D,159,01/15/2020,04:00:09,3.191,24,1671659,1
D,160,01/15/2020,05:00:09,3.192,25,1671567,1
D,161,01/15/2020,06:00:09,3.195,25,1616405,1
D,162,01/15/2020,07:00:06,3.192,25,1071673,1
D,163,01/15/2020,08:00:01,3.191,24,26008,1
D,164,01/15/2020,17:00:01,3.194,25,3123,1
D,165,01/15/2020,18:00:01,3.194,25,3451,1
D,166,01/15/2020,19:00:01,3.192,25,3035,1
D,167,01/15/2020,20:00:01,3.193,25,2716,1
D,168,01/15/2020,21:00:01,3.195,24,3264,1
D,169,01/15/2020,22:00:01,3.194,24,3342,1
D,170,01/15/2020,23:00:01,3.194,24,3217,1
D,171,01/16/2020,00:00:01,3.194,23,3525,1
D,172,01/16/2020,01:00:01,3.192,23,3524,1
D,173,01/16/2020,02:00:01,3.193,23,3277,1
D,174,01/16/2020,03:00:09,3.196,23,1765772,1
D,175,01/16/2020,04:00:09,3.194,22,1715391,1
D,176,01/16/2020,05:00:09,3.192,23,1743153,1
D,177,01/16/2020,06:00:09,3.193,23,1782095,1
D,178,01/16/2020,07:00:03,3.192,22,471974,1
D,179,01/16/2020,08:00:01,3.194,22,7401,1
D,182,01/14/2020,17:00:01,3.194,22,2135,1
D,183,01/14/2020,18:00:01,3.194,22,4691,1
D,184,01/14/2020,19:00:01,3.193,23,2207,1
D,185,01/14/2020,20:00:01,3.193,23,2653,1
D,186,01/14/2020,21:00:01,3.194,23,2296,1
D,187,01/14/2020,22:00:01,3.193,23,10329,1
D,190,01/14/2020,17:00:01,3.195,22,2900,1
D,191,01/14/2020,18:00:01,3.193,23,2995,1
D,192,01/14/2020,19:00:01,3.192,23,3524,1
D,193,01/14/2020,20:00:01,3.192,23,3047,1
D,194,01/14/2020,21:00:01,3.195,23,2255,1
D,195,01/14/2020,22:00:01,3.193,23,6332,1
D,196,01/14/2020,23:00:01,3.193,23,10081,1
D,197,01/15/2020,00:00:01,3.192,23,13897,1
D,198,01/15/2020,01:00:01,3.191,23,16378,1
D,199,01/15/2020,02:00:02,3.193,23,82260,1
D,200,01/15/2020,03:00:04,3.193,23,578387,1
D,201,01/15/2020,04:00:04,3.195,23,578426,1
D,202,01/15/2020,05:00:08,3.193,23,1621008,1
D,203,01/15/2020,06:00:04,3.193,23,570848,1
D,204,01/15/2020,07:00:08,3.194,23,1621165,1
D,205,01/15/2020,08:00:09,3.194,23,1637809,1
D,206,01/15/2020,17:00:01,3.192,23,3164,1
D,207,01/15/2020,18:00:01,3.196,23,2566,1
D,208,01/15/2020,19:00:01,3.194,23,2101,1
D,209,01/15/2020,20:00:01,3.194,23,2804,1
D,210,01/15/2020,21:00:01,3.196,24,3178,1
D,211,01/15/2020,22:00:01,3.193,25,3375,1
D,212,01/15/2020,23:00:01,3.194,23,3622,1
D,213,01/16/2020,00:00:01,3.194,23,4612,1
D,214,01/16/2020,01:00:01,3.193,23,5720,1
D,215,01/16/2020,02:00:01,3.192,23,5603,1
D,216,01/16/2020,03:00:01,3.192,23,5719,1
D,217,01/16/2020,04:00:01,3.192,24,5994,1
D,218,01/16/2020,05:00:01,3.193,24,6007,1
D,219,01/16/2020,06:00:01,3.192,24,34217,1
D,220,01/16/2020,07:00:09,3.194,24,2003976,1
D,221,01/16/2020,08:00:09,3.193,24,1998291,1
D,222,01/16/2020,17:00:01,3.194,24,11770,1
D,223,01/16/2020,18:00:01,3.193,23,4172,1
D,224,01/16/2020,19:00:01,3.193,25,4224,1
D,225,01/16/2020,20:00:01,3.192,25,3452,1
D,226,01/16/2020,21:00:01,3.193,25,3691,1
D,227,01/16/2020,22:00:01,3.193,24,13255,1
D,228,01/16/2020,23:00:01,3.192,24,10774,1
D,229,01/17/2020,00:00:01,3.194,25,59085,1
D,230,01/17/2020,01:00:01,3.192,24,38380,1
D,231,01/17/2020,02:00:03,3.194,25,399044,1
D,232,01/17/2020,03:00:07,3.192,24,1388110,1
D,233,01/17/2020,04:00:07,3.195,24,1382726,1
D,234,01/17/2020,05:00:07,3.194,24,1386257,1
D,235,01/17/2020,06:00:01,3.193,24,33765,1
D,236,01/17/2020,07:00:07,3.194,24,1399691,1
D,237,01/17/2020,08:00:09,3.195,24,1994042,1
D,238,01/17/2020,17:00:01,3.194,24,5870,1
D,239,01/17/2020,18:00:01,3.194,24,8602,1
D,240,01/17/2020,19:00:01,3.196,24,3152,1
D,241,01/17/2020,20:00:01,3.192,24,4445,1
D,242,01/17/2020,21:00:01,3.196,24,3139,1
D,243,01/17/2020,22:00:01,3.192,25,4787,1
D,244,01/17/2020,23:00:01,3.193,25,9956,1
D,245,01/18/2020,00:00:01,3.192,25,13392,1
D,246,01/18/2020,01:00:01,3.194,25,29507,1
D,247,01/18/2020,02:00:02,3.191,25,181589,1
D,248,01/18/2020,03:00:05,3.194,25,961697,1
D,249,01/18/2020,04:00:05,3.193,25,955478,1
D,250,01/18/2020,05:00:05,3.195,25,960747,1
D,251,01/18/2020,06:00:05,3.193,23,959566,1
D,252,01/18/2020,07:00:05,3.194,24,949254,1
D,253,01/18/2020,08:00:11,3.191,24,1859952,1
D,254,01/18/2020,17:00:01,3.194,24,3996,1
D,255,01/18/2020,18:00:01,3.193,24,4498,1
D,256,01/18/2020,19:00:01,3.192,24,2952,1
D,257,01/18/2020,20:00:01,3.192,24,4436,1
D,258,01/18/2020,21:00:01,3.191,24,4121,1
D,259,01/18/2020,22:00:01,3.193,25,12191,1
D,260,01/18/2020,23:00:01,3.194,25,12228,1
D,261,01/19/2020,00:00:01,3.191,24,10637,1
D,262,01/19/2020,01:00:01,3.193,24,6047,1
D,263,01/19/2020,02:00:01,3.194,24,6262,1
D,264,01/19/2020,03:00:01,3.190,23,6514,1
D,265,01/19/2020,04:00:01,3.194,24,6289,1
D,266,01/19/2020,05:00:01,3.195,24,6407,1
D,267,01/19/2020,06:00:11,3.195,24,1882837,1
D,268,01/19/2020,07:00:11,3.194,24,1870649,1
D,269,01/19/2020,08:00:10,3.195,24,1837869,1
D,270,01/19/2020,17:00:01,3.193,23,3039,1
D,271,01/19/2020,18:00:01,3.193,23,3088,1
D,272,01/19/2020,19:00:01,3.193,24,2148,1
D,273,01/19/2020,20:00:01,3.193,23,3222,1
D,276,01/14/2020,17:00:08,3.194,20,1389,1
D,277,01/14/2020,18:00:01,3.195,20,1119,1
D,278,01/14/2020,19:00:01,3.191,20,1014,1
D,279,01/14/2020,20:00:01,3.195,19,1443,1
D,280,01/14/2020,21:00:01,3.193,19,1466,1
D,281,01/14/2020,22:00:01,3.193,18,1784,1
D,282,01/14/2020,23:00:01,3.195,18,1611,1
D,283,01/15/2020,00:00:01,3.192,18,1870,1
D,284,01/15/2020,01:00:01,3.194,18,2005,1
D,285,01/15/2020,02:00:01,3.193,18,2153,1
D,286,01/15/2020,03:00:01,3.193,18,2186,1
D,287,01/15/2020,04:00:01,3.193,17,2089,1
D,288,01/15/2020,05:00:01,3.193,18,2185,1
D,289,01/15/2020,06:00:01,3.193,18,35565,1
